"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",24.2,7/11,103,3375000,0,21,2017
"Россия, Санкт-Петербург, Динамовская улица, д.2, Чкаловское, Санкт-Петербург",168.7,2/7,104,58000000,4,7,2005
"Санкт-Петербург, Союзный проспект, 4, Правобережный, Санкт-Петербург",33.0,13/15,105,4650000,1,15,2014
"Санкт-Петербург, Богатырский проспект, 56к1, № 65, Санкт-Петербург",62.6,8/18,106,8540000,2,18,2010
"Санкт-Петербург, улица Чекистов, 22, Урицк, Санкт-Петербург",65.0,12/12,109,6900000,3,12,2000
"Санкт-Петербург, улица Сикейроса, 11к1, Сосновское, Санкт-Петербург",120.0,12/17,111,18000000,3,17,2005
"посёлок Парголово, Санкт-Петербург, улица Валерия Гаврилина, 3к2, Парголово, Санкт-Петербург",83.0,8/26,113,7800000,3,27,2012
"г. Санкт-Петербург, Шевченко ул. д.17 литера А, Гавань, Санкт-Петербург",63.0,9/10,114,7400000,4,9,1967
"Санкт-Петербург, Малая Бухарестская улица, 8к1, № 75, Санкт-Петербург",85.0,3/17,115,9990000,3,17,2005
"Обводного канала набережная, 55Г, Лиговка-Ямская, Санкт-Петербург",80.1,3/4,116,6800000,2,4,1900
"Санкт-Петербург, Военная улица, 18к2, Лиговка-Ямская, Санкт-Петербург",89.6,8/12,119,14150000,3,12,2016
"территория Пулковское, посёлок Шушары, Пушкинский район, Санкт-Петербург, Переведенская улица, 8, Пушкин, Санкт-Петербург",90.0,4/5,120,10990000,3,5,2017
"Санкт-Петербург, Вёсельная улица, 5, Гавань, Санкт-Петербург",80.0,2/5,121,11780000,3,5,1910
"Санкт-Петербург, территория Горелово, улица Коммунаров, 190, Горелово, Санкт-Петербург",100.5,14/16,124,8200000,3,16,2014
"Санкт-Петербург, проспект Маршака, 4, Полюстрово, Санкт-Петербург",93.0,11/17,125,9000000,4,18,2015
"Санкт-Петербург, Заневский проспект, 63, Малая Охта, Санкт-Петербург",42.0,5/5,126,4700000,2,5,1962
"Санкт-Петербург, Новоколомяжский проспект, 11, Коломяги, Санкт-Петербург",52.0,10/16,128,6000000,1,16,2006
"Санкт-Петербург, Витебская улица, 21, Коломна, Санкт-Петербург",84.0,1/5,130,8200000,5,5,1897
"Санкт-Петербург, 1-й Предпортовый проезд, 14, Новоизмайловское, Санкт-Петербург",25.0,7/12,131,3600000,0,18,2015
"Санкт-Петербург, улица Ворошилова, 27к1, Правобережный, Санкт-Петербург",61.9,22/23,134,7100000,2,22,2013
"Санкт-Петербург, Октябрьская набережная, 100к1, Народный, Санкт-Петербург",80.4,5/5,135,6890000,3,,
"Санкт-Петербург, Вознесенский проспект, 41, Адмиралтейский округ, Санкт-Петербург",59.2,3/5,136,6800000,1,4,1843
"Санкт-Петербург, улица Адмирала Черокова, 18к3, Южно-Приморский округ, Санкт-Петербург",37.0,4/8,139,4750000,1,19,2014
"Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, 21к3, Парголово, Санкт-Петербург",100.6,12/27,142,10200000,3,27,2017
"Санкт-Петербург, проспект Металлистов, 15, Большая Охта, Санкт-Петербург",94.0,7/10,143,12990000,3,14,2008
"посёлок Парголово, Санкт-Петербург, улица Валерия Гаврилина, 5, Парголово, Санкт-Петербург",54.0,2/25,144,5800000,2,26,2012
"Санкт-Петербург, улица Пионерстроя, 15к3, Сосновая поляна, Санкт-Петербург",30.3,3/9,145,3450000,1,9,1973
"Санкт-Петербург, 16-я линия Васильевского острова, 73, Васильевский, Санкт-Петербург",72.0,5/5,147,8550000,2,5,1917
"Санкт-Петербург, Южное шоссе, 57к2, № 75, Санкт-Петербург",86.4,11/25,149,11500000,3,25,2014
"Санкт-Петербург, Южное шоссе, 53к4, № 75, Санкт-Петербург",40.5,7/25,150,5600000,1,26,2016
"Санкт-Петербург, Парашютная улица, 56к2, Коломяги, Санкт-Петербург",39.3,16/19,151,4800000,1,19,2014
"Санкт-Петербург, Комендантский проспект, 8к2, Озеро Долгое, Санкт-Петербург",100.0,2/8,152,13999000,3,10,2001
"Санкт-Петербург, Комендантский проспект, 13к1, Озеро Долгое, Санкт-Петербург",60.3,13/25,153,9350000,2,25,2006
"Санкт-Петербург, улица Белы Куна, 19к1, № 72, Санкт-Петербург",34.3,9/9,155,4400000,1,9,1967
"Санкт-Петербург, Туристская улица, 11к1, № 65, Санкт-Петербург",110.0,4/12,158,9600000,4,16,2010
"Санкт-Петербург, проспект Металлистов, 8, подъезд 2, Большая Охта, Санкт-Петербург",42.0,3/5,159,4700000,2,5,1963
"Санкт-Петербург, Богатырский проспект, 7к5, Комендантский аэродром, Санкт-Петербург",55.0,12/16,160,5990000,2,12,1984
"Санкт-Петербург, улица Щербакова, 21, Коломяги, Санкт-Петербург",54.0,5/5,161,8900000,2,6,2011
"посёлок Мурино, Всеволожский район, Ленинградская область, Новая улица, 11к3, Санкт-Петербург",60.0,27/27,162,5550000,2,28,2016
"Санкт-Петербург, набережная Чёрной речки, 26, Чёрная речка, Санкт-Петербург",31.0,1/5,163,2950000,1,5,1960
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Старорусский проспект, 6, Пушкин, Санкт-Петербург",33.0,8/25,164,3480000,1,25,2017
"ул Асафьева, 2к2, Шувалово-Озерки, Санкт-Петербург",58.0,5/9,166,6150000,3,9,1979
"Санкт-Петербург, Будапештская улица, 61, Георгиевский, Санкт-Петербург",31.0,1/9,167,4100000,1,9,1988
"Санкт-Петербург, Английский проспект, 48, Коломна, Санкт-Петербург",122.8,4/5,170,22700000,4,5,2003
"Санкт-Петербург, Автовская улица, 26/37, подъезд 1, Автово, Санкт-Петербург",56.0,4/5,172,6570000,2,,
"Санкт-Петербург, улица Фрунзе, 1, Пулковский меридиан, Санкт-Петербург",62.0,5/5,174,7750000,2,5,1960
"Санкт-Петербург, улица Крыленко, 1к1с2, Народный, Санкт-Петербург",42.0,16/17,175,4999999,1,26,2016
"Санкт-Петербург, улица Маршала Тухачевского, 7к1, Полюстрово, Санкт-Петербург",30.9,7/9,176,3100000,1,9,1972
"посёлок Мурино, Всеволожский район, Ленинградская область, Новая улица, 7к3, Санкт-Петербург",33.0,3/27,181,4295000,1,27,2015
"Кемская ул, д. 14, Чкаловское, Санкт-Петербург",227.0,2/7,182,59900000,5,7,2006
"Санкт-Петербург, Комендантский проспект, 53к1, Коломяги, Санкт-Петербург",66.0,2/24,183,7850000,2,25,2008
"Санкт-Петербург, Русановская улица, 11, Народный, Санкт-Петербург",64.0,14/24,184,6700000,2,23,2013
"Санкт-Петербург, Будапештская улица, 72к3, Георгиевский, Санкт-Петербург",77.2,2/9,186,7900000,4,9,1976
"Санкт-Петербург, Комендантская площадь, 8, Озеро Долгое, Санкт-Петербург",118.0,17/17,187,18000000,3,18,2009
"Санкт-Петербург, улица Нахимова, 15, Морской, Санкт-Петербург",135.0,10/16,188,26500000,3,17,2006
"ул Трефолева, 23, Нарвский округ, Санкт-Петербург",48.0,1/2,189,5700000,2,2,1949
"Кирочная ул, 31к2, Смольнинское, Санкт-Петербург",62.0,2/9,190,20400000,2,8,2015
"Полтавский проезд, 2А, Лиговка-Ямская, Санкт-Петербург",46.4,3/7,191,9400000,1,7,2013
"Демьяна Бедного д8к1, Северный, Санкт-Петербург",36.0,12/16,193,4110000,1,16,1982
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Вишерская улица, 16, Пушкин, Санкт-Петербург",72.4,17/20,194,8300000,3,20,2012
"Санкт-Петербург, Нарвский проспект, 10, подъезд 1, Екатерингофский, Санкт-Петербург",54.0,2/5,195,5900000,3,,
"Санкт-Петербург, Лыжный переулок, 3, № 65, Санкт-Петербург",64.4,9/15,196,9850000,2,19,2012
"Санкт-Петербург, Парашютная улица, 19к1, Юнтолово, Санкт-Петербург",71.3,4/4,198,8700000,2,5,2001
"Санкт-Петербург, Индустриальный проспект, 11к2, Пороховые, Санкт-Петербург",53.0,10/12,199,4990000,2,,
"Санкт-Петербург, улица Оптиков, 33к1, № 65, Санкт-Петербург",40.0,12/25,200,5400000,1,25,2014
"Санкт-Петербург, Русановская улица, 17к3, Народный, Санкт-Петербург",50.2,23/24,204,5500000,2,23,2013
"Каменноостровский пр-кт, 62, Чкаловское, Санкт-Петербург",165.6,4/6,205,65000000,4,6,2008
"п. Парголово, ул Заречная, д. 25, Парголово, Санкт-Петербург",59.0,22/25,207,6900000,2,26,2012
"Россия, Санкт-Петербург, Большая Озёрная улица, д.77, Шувалово-Озерки, Санкт-Петербург",126.8,4/4,208,27000000,3,4,2009
"Каменноостровский пр-кт, 62, Чкаловское, Санкт-Петербург",166.0,5/6,209,35000000,4,6,2008
"Санкт-Петербург, улица Матроса Железняка, 57, Чёрная речка, Санкт-Петербург",79.9,13/14,210,10090000,2,26,2008
"Санкт-Петербург, улица Александра Матросова, 20к2, Сампсониевское, Санкт-Петербург",42.3,9/17,211,7290000,1,17,2015
"Санкт-Петербург, Будапештская улица, 8к4, Волковское, Санкт-Петербург",96.3,1/9,213,12800000,2,9,2003
"Санкт-Петербург, Среднерогатская улица, 20, Звёздное, Санкт-Петербург",21.8,6/18,219,2999000,0,18,2019
"Санкт-Петербург, Ленинский проспект, 109, подъезд 4, Дачное, Санкт-Петербург",65.3,3/18,222,8350000,2,25,2006
"Вязовая ул, 8, Чкаловское, Санкт-Петербург",97.0,4/7,223,47000000,3,10,2017
"Новочеркасский пр-кт, 33к3, Малая Охта, Санкт-Петербург",176.2,6/10,226,29300000,4,10,2009
"Санкт-Петербург, 11-я Красноармейская улица, Измайловское округ, Санкт-Петербург",71.0,1/4,228,7800000,3,4,1869
"Санкт-Петербург, Моравский переулок, 3к2, № 75, Санкт-Петербург",61.1,1/16,229,7490000,2,16,2008
"Санкт-Петербург, Приморский проспект, 14, Чёрная речка, Санкт-Петербург",114.0,2/5,235,13800000,4,5,1900
"Россия, Санкт-Петербург, Каменноостровский проспект, 1-3, Посадский, Санкт-Петербург",135.0,5/5,237,16300000,4,5,1903
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 23к1, Парголово, Санкт-Петербург",40.8,19/27,238,4500000,1,28,2015
