adress,area,floor,price,rooms,total_floors,year
"Самара, улица Гагарина, 104, Советский, Самара, Самарская область",31.0,4/5,2450000,1,5,2010
"Самарская область,Самара,Октябрьский район,Ленина проспект,16, Октябрьский, Самара, Самарская область",69.0,4/9,4950000,3,9,1974
"Самара, улица Бубнова, 4, Промышленный, Самара, Самарская область",50.0,4/9,2930000,2,9,1982
"Самара, Ново-Садовая улица, 139, Октябрьский, Самара, Самарская область",111.0,6/13,10999999,3,17,2006
"ул. Ново-Садовая, д. 201Б, Октябрьский, Самара, Самарская область",38.7,2/24,2500000,1,,
"Самара, Солнечная улица, 18, Октябрьский, Самара, Самарская область",45.0,11/27,2380000,1,27,2016
"село Зольное, городской округ Жигулёвск, Самарская область, Первомайская улица, 35А, Самара, Самарская область",50.0,2/2,1250000,2,2,1969
"Ново-Садовая 21, Октябрьский, Самара, Самарская область",75.0,3/5,6200000,3,5,1956
"Россия, Самарская область, Самара, Краснодонская ул, 49, Кировский, Самара, Самарская область",33.7,1/2,1650000,1,2,1941
"Самара, улица Буянова, 12, подъезд 1, Ленинский, Самара, Самарская область",65.0,2/6,4200000,2,6,1998
"Самарская область,Самара,Промышленный,Солнечная улица,49, Промышленный, Самара, Самарская область",30.0,9/9,2150000,1,9,1991
"Самара, улица Агибалова, 76, Ленинский, Самара, Самарская область",51.0,6/10,3650000,2,9,1987
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 50, Красноглинский, Самара, Самарская область",33.0,1/3,1400000,1,3,2013
"Самара, улица Мира, 35, Красноглинский, Самара, Самарская область",28.0,2/3,1400000,1,3,2014
"Самара, улица Свободы, 79, Советский, Самара, Самарская область",61.0,4/4,2850000,2,5,1958
"Самара, Чернореченская улица, 42, Ленинский, Самара, Самарская область",53.0,9/9,3580000,2,9,1983
"Самара, Ставропольская улица, 163, Кировский, Самара, Самарская область",30.7,4/5,2300000,1,5,1972
"Самарская область,Самара,Советский район,Промышленности улица,299, Советский, Самара, Самарская область",31.0,4/5,1900000,1,5,1969
"Самара, Ленинская улица, 310, Ленинский, Самара, Самарская область",67.0,13/17,6500000,2,,2008
"ул Челюскинцев, 17, Октябрьский, Самара, Самарская область",44.7,8/9,3800000,2,9,1973
"Самарская область,Самара,Карла Маркса проспект,4 Б, Железнодорожный, Самара, Самарская область",39.0,14/24,3500000,1,25,2017
"Самара, Ташкентская улица, 180, Кировский, Самара, Самарская область",63.0,4/5,3300000,3,5,1970
"Самара, проспект Карла Маркса, 483, подъезд 2, Кировский, Самара, Самарская область",61.0,9/9,2680000,3,9,1974
"Самарская область,Самара,Советский район,Карла Маркса проспект,217, Советский, Самара, Самарская область",49.7,2/2,2250000,2,2,1957
"Самара, улица Скляренко, 11, Октябрьский, Самара, Самарская область",42.0,2/5,2600000,2,5,1967
"Самара, Ташкентская улица, 232, Промышленный, Самара, Самарская область",30.0,9/9,2050000,1,9,1987
"Самара, проспект Юных Пионеров, 61, Промышленный, Самара, Самарская область",18.4,2/5,780000,1,5,1969
"Самара, Самарская улица, 203, Ленинский, Самара, Самарская область",71.0,5/5,5250000,3,6,1958
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 62, Красноглинский, Самара, Самарская область",35.1,2/3,1685000,1,3,2014
"Самара, проспект Карла Маркса, 59А, подъезд 1, Железнодорожный, Самара, Самарская область",33.7,11/17,2550000,1,14,
"Молодогвардейская 153, Ленинский, Самара, Самарская область",80.0,7/7,6490000,3,7,1979
"Самара, Физкультурная улица, 123, Промышленный, Самара, Самарская область",31.0,3/5,1650000,1,5,1964
"Самара, проспект Металлургов, 96, Кировский, Самара, Самарская область",41.0,2/5,2200000,2,5,1960
"ул Дружбы Народов, 6, Куйбышевский, Самара, Самарская область",44.0,2/2,1450000,2,2,1960
"посёлок Красная Глинка, Красноглинский район, Самара, 4-й квартал, Красноглинский, Самара, Самарская область",42.0,1/5,1850000,2,4,1960
"Самара, проспект Карла Маркса, 354, Промышленный, Самара, Самарская область",32.0,1/5,1490000,1,5,1968
"Самара, 5-я просека, 97А, Октябрьский, Самара, Самарская область",74.0,6/19,5100000,2,,
"ул. Новокомсомольская, 40, Куйбышевский, Самара, Самарская область",112.3,1/10,3705900,3,10,2010
"посёлок Сухая Самарка, Самара, Белорусская улица, 135, Куйбышевский, Самара, Самарская область",45.0,10/11,2150000,1,10,2011
"Самара, Магистральная улица, 135Б, подъезд 1, Кировский, Самара, Самарская область",43.0,5/5,2100000,2,5,1968
"Самара, Ташкентская улица, 176, подъезд 3, Кировский, Самара, Самарская область",64.1,3/5,2850000,3,5,1970
"Россия, Самарская область, Самара, Мичурина ул, 143, Октябрьский, Самара, Самарская область",62.3,5/9,4700000,3,9,1983
"Клиническая, 17, Октябрьский, Самара, Самарская область",63.0,5/5,3450000,3,5,1973
"Самара, Черемшанская улица, 258, подъезд 3, Кировский, Самара, Самарская область",66.0,8/9,2750000,3,9,1974
"ул Мичурина, 6, Ленинский, Самара, Самарская область",71.0,8/10,5000000,3,9,1976
"7-я просека, д. 108, Промышленный, Самара, Самарская область",71.0,2/19,4660000,2,20,2013
"Самара, улица Алексея Толстого, 100, Самарский, Самара, Самарская область",157.0,3/9,13950000,3,,1
"Самарская область,Самара,Куйбышевский район,Молдавская улица,15а, Куйбышевский, Самара, Самарская область",48.0,2/2,1400000,2,2,1949
"Самара, Каховская улица, 55, Кировский, Самара, Самарская область",44.0,4/4,2770000,2,4,1958
"Самара, улица Тухачевского, 42А, Железнодорожный, Самара, Самарская область",71.4,15/24,3300000,2,9,1986
"Самарская область,Самара,Промышленный район,Стара Загора улица,84а, Промышленный, Самара, Самарская область",217.0,10/10,19000000,4,9,1974
"Самара, проспект Карла Маркса, 487, Кировский, Самара, Самарская область",60.0,9/9,3050000,3,9,1974
"Самара, Кабельная улица, 45Б, подъезд 1, Промышленный, Самара, Самарская область",34.0,3/9,1180000,2,9,1976
"Самара, проспект Карла Маркса, 4А, Железнодорожный, Самара, Самарская область",42.1,11/24,2820700,1,25,2015
"Самара, 5-я просека, 99А, Октябрьский, Самара, Самарская область",44.2,3/22,3790000,1,23,2008
"Самара, улица Максима Горького, 75, Самарский, Самара, Самарская область",63.8,2/2,3200000,3,2,1917
"Самарская область, Волжский район, жилой район Южный Город - 1, Подстепновская улица, 12, Самара, Самарская область",39.0,9/10,2155000,1,10,2016
"Самара, проспект Кирова, 258, Промышленный, Самара, Самарская область",54.0,3/9,3050000,2,9,1971
"Россия, Самарская область, Самара, Мичурина ул, 150, Октябрьский, Самара, Самарская область",49.6,6/22,3900000,1,22,2013
"Физкультурная д 86, Советский, Самара, Самарская область",62.0,5/5,3200000,2,5,1957
"Самарская область,Самара,Кировский,Строителей улица,34, Кировский, Самара, Самарская область",36.0,1/9,2160000,2,9,1976
"Самара, улица Карла Либкнехта, 4, Октябрьский, Самара, Самарская область",110.0,7/17,6300000,3,17,2014
"ул Ташкентская, 140, Кировский, Самара, Самарская область",48.3,5/5,2700000,2,5,1971
"Самара, 7-я просека, 106, Промышленный, Самара, Самарская область",39.0,19/20,2650000,1,21,2014
"Самара, улица Максима Горького, 131, Ленинский, Самара, Самарская область",78.0,3/12,7500000,2,15,2003
"посёлок Сухая Самарка, Самара, Белорусская улица, 107А, Куйбышевский, Самара, Самарская область",45.0,2/5,2750000,2,5,1977
"Самара, Ново-Садовая улица, 153, Октябрьский, Самара, Самарская область",71.2,5/15,4150000,2,12,1982
"Самара, Корабельная улица, 10, Октябрьский, Самара, Самарская область",47.0,6/22,3200000,1,22,
"Самарская область,Самара,Самарский район,Чапаевская улица,86, Самарский, Самара, Самарская область",41.0,1/2,2900000,2,2,1917
"ул Казачья, 2а, Куйбышевский, Самара, Самарская область",51.1,7/10,2850000,1,10,2010
"Самара, улица Лукачева, 6, Октябрьский, Самара, Самарская область",98.3,10/24,9550000,3,26,2016
"Самара, Ставропольская улица, 163, Кировский, Самара, Самарская область",61.0,5/5,2950000,3,5,1972
"Самара, улица Дзержинского, 9А, подъезд 3, Железнодорожный, Самара, Самарская область",45.4,4/5,2850000,2,5,1968
"Самара, проспект Карла Маркса, 408, Кировский, Самара, Самарская область",64.0,2/5,3300000,3,5,1968
"Пензенская улица, 58, Железнодорожный, Самара, Самарская область",55.1,8/12,2900000,2,12,1984
"Самара, проспект Карла Маркса, 434, Кировский, Самара, Самарская область",46.0,4/5,2380000,2,5,1969
"Самара, 5-я просека, 123, Октябрьский, Самара, Самарская область",38.0,9/11,2550000,1,13,2016
"ул Максима Горького 131, Ленинский, Самара, Самарская область",74.0,5/9,8999999,1,15,2003
"Самара, улица Г.С. Аксакова, 19А, Железнодорожный, Самара, Самарская область",45.0,5/5,2600000,2,5,1977
"Самарская область,Самара,Советский район,Энтузиастов улица,70, Советский, Самара, Самарская область",56.0,5/5,2590000,3,5,1963
"Самара, улица 22 Партсъезда, 18, Советский, Самара, Самарская область",42.0,3/5,2450000,2,5,1963
"Самара, улица Свободы, 18, Советский, Самара, Самарская область",31.3,3/5,1850000,1,5,1963
"Самара, проспект Карла Маркса, 290, Промышленный, Самара, Самарская область",31.0,4/5,1670000,1,5,1966
"Самара, улица Тухачевского, 40А, подъезд 1, Железнодорожный, Самара, Самарская область",71.0,2/25,3300000,2,12,1985
"Самарская область,Самара,Железнодорожный район,Урицкого улица,30, Железнодорожный, Самара, Самарская область",79.0,9/10,4600000,3,10,1
"Самара, улица Советской Армии, 154, Советский, Самара, Самарская область",33.1,5/5,2150000,1,5,1967
"Улица Л. Шмидта 3, Октябрьский, Самара, Самарская область",136.0,13/14,9600000,3,14,2003
"Самарская область,Самара,Промышленный район,Московское шоссе,252Б, Промышленный, Самара, Самарская область",71.7,4/9,4700000,3,9,1987
"Россия, Самарская область, Самара, Советской Армии ул, 157, Советский, Самара, Самарская область",31.6,5/5,2050000,1,5,1968
"Самара, улица Стара Загора, 197, Кировский, Самара, Самарская область",31.0,4/5,1950000,1,5,1968
"Самара, улица Гагарина, 114, Советский, Самара, Самарская область",30.2,1/5,2050000,1,5,1962
"жилой район Южный Город - 1, Волжский район, Самарская область, Земская улица, 9, Самара, Самарская область",53.0,8/9,2700000,2,10,2015
"Самара, улица Стара Загора, 53А, Промышленный, Самара, Самарская область",64.0,4/8,3690000,2,5,1966
"Самара, Революционная улица, 7, Октябрьский, Самара, Самарская область",45.0,5/16,3600000,1,16,2008
"ул Средне-Садовая 68, Промышленный, Самара, Самарская область",29.5,1/9,1550000,1,9,1989
"ул. Виталия Талабаева, д. 8, Куйбышевский, Самара, Самарская область",65.5,14/16,2620000,2,,
"Самара, улица Лукачева, 10, Октябрьский, Самара, Самарская область",48.5,3/24,3490000,1,22,2014
"Самара, улица Стара Загора, 283, Кировский, Самара, Самарская область",35.0,3/5,2000000,1,5,1972
"Самарская область,Самара,Октябрьский район,Советской Армии улица,201, Октябрьский, Самара, Самарская область",56.0,2/6,3400000,2,6,1985
"Самара, улица Агибалова, 9, Железнодорожный, Самара, Самарская область",45.0,5/5,2650000,2,5,1961
"Самара, Партизанская улица, 76, Железнодорожный, Самара, Самарская область",57.0,4/5,3650000,3,5,1967
"Ново-Садовая 106 Н, Октябрьский, Самара, Самарская область",40.0,5/22,3850000,0,22,2014
"Самарская область,Самара,Красноглинский район,Красная Глинка,4-й квартал,6, Красноглинский, Самара, Самарская область",44.9,5/5,1750000,2,5,1999
"Самара, Чапаевская улица, 206, Ленинский, Самара, Самарская область",30.0,3/5,3400000,1,6,1969
"Самарская область,Самара,Красноглинский район,Крутые ключи,Ивана Финютина бульвар,9, Красноглинский, Самара, Самарская область",48.6,1/3,2100000,2,3,2011
"посёлок Соцгород, Самара, Бакинская улица, 36, Куйбышевский, Самара, Самарская область",44.0,4/5,2000000,2,5,1960
"Самара, улица Мяги, 11, Железнодорожный, Самара, Самарская область",43.0,5/5,2200000,2,5,1967
"Самара, улица Промышленности, 315, Советский, Самара, Самарская область",22.0,4/5,1950000,1,5,1977
"Самара, проспект Карла Маркса, 372А, Кировский, Самара, Самарская область",25.0,4/5,1180000,1,5,1970
"Самарская область,Самара,Промышленный,Фадеева улица,55, Промышленный, Самара, Самарская область",60.0,1/9,2900000,3,,1
"Самара, Ставропольская улица, 98к2, Промышленный, Самара, Самарская область",24.9,4/5,1550000,1,5,1972
"посёлок Сухая Самарка, Самара, Флотская улица, 15, Куйбышевский, Самара, Самарская область",48.0,4/5,1590000,2,5,1969
"Самара, улица Александра Матросова, 49, Промышленный, Самара, Самарская область",56.0,12/13,3560000,2,,
"Самара, Воронежская улица, 258, Промышленный, Самара, Самарская область",44.6,1/5,2500000,2,5,1967
"Самара, улица Челюскинцев, 14, Октябрьский, Самара, Самарская область",21.6,8/9,1950000,1,9,1975
"Самара, Заводское шоссе, 57, Промышленный, Самара, Самарская область",22.0,9/9,1350000,1,9,1982
"посёлок Сухая Самарка, Самара, Белорусская улица, 87к1, Куйбышевский, Самара, Самарская область",38.0,6/10,1900000,1,10,2002
"Самарская область,Самара,Советский район,Промышленности улица,116, Советский, Самара, Самарская область",76.4,4/9,2903200,1,,
"Самара, проспект Кирова, 201, Кировский, Самара, Самарская область",106.1,3/10,7248000,4,10,1994
"посёлок Соцгород, Самара, Молодёжный переулок, 22, Куйбышевский, Самара, Самарская область",66.0,3/4,2200000,3,4,1954
"Самара, улица Гастелло, 46, Октябрьский, Самара, Самарская область",89.0,14/18,7000000,2,17,2013
"Самара, проспект Юных Пионеров, 61, Промышленный, Самара, Самарская область",12.6,1/5,850000,1,5,1969
"Самара, Смышляевское шоссе, 1, Кировский, Самара, Самарская область",27.0,9/9,1100000,1,9,1995
"Самарская область,Самара,Железнодорожный район,Тухачевского улица,80, Железнодорожный, Самара, Самарская область",45.0,2/16,2370000,1,22,2017
"Самара, Ташкентская улица, 142, Кировский, Самара, Самарская область",31.0,1/5,2000000,1,5,1971
"Самара, проспект Карла Маркса, 4Б, подъезд 5, Железнодорожный, Самара, Самарская область",39.3,19/23,2635110,1,25,2017
"Самара, улица Мичурина, 50, подъезд 1, Октябрьский, Самара, Самарская область",83.0,2/9,4600000,3,9,1972
"Самара, улица Блюхера, 5, подъезд 4, Советский, Самара, Самарская область",33.0,4/5,1900000,1,5,1965
"Самарская область,Самара,Кировский район,Карла Маркса проспект,482, Кировский, Самара, Самарская область",64.5,1/9,2750000,3,9,1972
"ул Партизанская, 58, Железнодорожный, Самара, Самарская область",35.0,7/9,1900000,2,9,1978
"Самарская область,Самара,Ново-Садовая улица,303А, Октябрьский, Самара, Самарская область",185.0,16/17,10999000,4,,1
"Карла Маркса проспект,390, Кировский, Самара, Самарская область",47.0,5/5,2400000,2,5,1968
"Самара, Аэродромная улица, 98, Советский, Самара, Самарская область",25.0,2/9,1400000,1,9,1981
"ул. Краснодонская, д. 10, Промышленный, Самара, Самарская область",44.3,20/27,2525100,1,,
"Самара, Осетинская улица, 2, Куйбышевский, Самара, Самарская область",71.0,15/16,6078000,3,17,2014
"посёлок Совхоз Волгарь, Куйбышевский район, Самара, Новокомсомольская улица, 5, Куйбышевский, Самара, Самарская область",60.0,3/5,2800000,3,5,1999
"Самара, Планерный переулок, 5, Советский, Самара, Самарская область",63.2,2/2,2900000,2,2,1950
"Самарская область,Самара,Советский,Победы улица,7 а, Советский, Самара, Самарская область",17.0,2/5,1300000,1,5,1962
"Самара, 6-я просека, 151, подъезд 2, Промышленный, Самара, Самарская область",40.4,14/14,2950000,1,14,1
"Самара, Ташкентская улица, 188, Кировский, Самара, Самарская область",90.0,3/10,4820000,4,,
"Самарская область,Самара,Кировский район,Металлургов проспект,83, Кировский, Самара, Самарская область",74.0,5/5,4100000,3,5,1958
"ул Георгия Димитрова, 36, Кировский, Самара, Самарская область",23.1,5/5,1050000,2,5,1970
"Самарская область,Самара,Октябрьский район,Карла Маркса проспект,165, Октябрьский, Самара, Самарская область",60.0,4/9,3470000,3,9,1971
"Самара, Красноармейская улица, 133, Железнодорожный, Самара, Самарская область",61.0,2/3,2770000,2,5,1957
"Самара, улица Стара Загора, 273, Кировский, Самара, Самарская область",80.0,3/5,2700000,4,5,1972
"Самара, Ставропольская улица, 74, Промышленный, Самара, Самарская область",45.0,2/10,2797000,1,9,1990
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 34, Красноглинский, Самара, Самарская область",31.0,1/3,1380000,1,3,2012
"Самара, проспект Металлургов, 96, Кировский, Самара, Самарская область",43.7,2/5,2100000,2,5,1960
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Евгения Золотухина, 44, Красноглинский, Самара, Самарская область",38.0,2/3,1550000,1,3,2012
"Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 5, Красноглинский, Самара, Самарская область",68.0,1/9,3099000,3,9,1986
"Самара, улица Победы, 121, Кировский, Самара, Самарская область",46.0,5/5,2600000,2,5,1965
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 78, Красноглинский, Самара, Самарская область",35.0,2/3,1550000,1,3,2014
"микрорайон , , Красноглинский район, Самара, Крутые Ключи, 44, Красноглинский, Самара, Самарская область",31.0,1/3,1350000,1,3,2014
"Самарская область, город Самара, ул. Галактионовская 81., Ленинский, Самара, Самарская область",100.0,9/9,6100000,3,,1
"Самара, проспект Масленникова, 11, Октябрьский, Самара, Самарская область",44.0,5/5,2950000,2,5,1960
"Самара, проспект Кирова, 379, Кировский, Самара, Самарская область",61.0,6/9,3900000,3,9,1971
"Самара, посёлок Мехзавод, 11-й квартал, 32, Красноглинский, Самара, Самарская область",54.0,1/5,2000000,2,5,1993
"Самара, улица Врубеля, 13, Октябрьский, Самара, Самарская область",70.0,20/24,5790000,2,25,2015
"Самара, Аэродромная улица, 79, Советский, Самара, Самарская область",31.0,3/5,1800000,1,5,1964
"Самара, Ставропольская улица, 105, Промышленный, Самара, Самарская область",25.0,5/5,1400000,1,5,1970
"Самара, поселок Мехзавод, 7-й квартал, 5, Красноглинский, Самара, Самарская область",35.0,2/5,1550000,1,5,1985
"посёлок Сухая Самарка, Самара, Белорусская улица, 28, Куйбышевский, Самара, Самарская область",38.5,3/11,1900000,1,12,2002
"Самарская область,Самара,Промышленный,Демократическая улица,14, Промышленный, Самара, Самарская область",40.0,7/10,2300000,1,10,1993
"Самарская область,Самара,Кировский район,Ташкентская улица,153, Кировский, Самара, Самарская область",80.8,12/12,3480000,3,,
"посёлок Мехзавод, Самара, 7-й квартал, 2, Красноглинский, Самара, Самарская область",44.0,4/5,1750000,2,,
"ул. Лейтенанта Шмидта, д. 10, Октябрьский, Самара, Самарская область",42.3,7/17,2700000,1,1,1926
"Самара, улица Степана Разина, 31, Самарский, Самара, Самарская область",74.0,3/4,4500000,3,5,1
"Самара, улица Дыбенко, 114, Советский, Самара, Самарская область",74.9,11/12,4550000,3,12,1994
"Самара, Ветлянская улица, 40, Промышленный, Самара, Самарская область",61.0,1/3,1700000,3,3,1974
"ул Гайдара, 10, Красноглинский, Самара, Самарская область",57.0,5/5,2550000,3,5,1
"Самарская область,Самара,Советский район,Мальцева проезд,10, Советский, Самара, Самарская область",34.8,6/9,1600000,2,9,1984
"посёлок Управленческий, Красноглинский район, Самара, улица Ногина, 5, Красноглинский, Самара, Самарская область",32.0,5/5,1450000,1,5,1968
"Россия, Самарская область, Самара, Стара Загора ул, 229, Кировский, Самара, Самарская область",58.0,5/5,2500000,3,5,1968
"ул Молодогвардейская 217, Ленинский, Самара, Самарская область",62.0,4/9,5600000,3,,
"ул.Мичурина 138, Октябрьский, Самара, Самарская область",100.0,22/24,7500000,3,24,2015
"Самара, улица Водников, 45, подъезд 3, Самарский, Самара, Самарская область",129.0,4/10,9400000,3,10,2003
"Самара, Юбилейная улица, 55, Кировский, Самара, Самарская область",44.0,3/5,2850000,1,16,2008
"Самара, Пионерская улица, 100, Самарский, Самара, Самарская область",66.0,14/16,4500000,2,,1
"Самара, 7-я просека, 104, Промышленный, Самара, Самарская область",36.0,3/19,2650000,1,1,2014
"посёлок Управленческий, Красноглинский район, Самара, улица Академика Кузнецова, 3, Красноглинский, Самара, Самарская область",47.0,5/5,2200000,2,5,1975
"Центральная ул, 25, Октябрьский, Самара, Самарская область",121.0,11/23,7550000,3,22,2013
"Самара, Паровозная улица, 37, Железнодорожный, Самара, Самарская область",41.0,2/2,1900000,2,2,1958
"Самара, улица Алексея Толстого, Самарский, Самара, Самарская область",70.0,5/7,5800000,2,12,2008
"ул Евгения Золотухина, 21, Красноглинский, Самара, Самарская область",49.0,2/3,2640000,2,3,2012
"ул Революционная, 101а, Октябрьский, Самара, Самарская область",110.0,1/9,6100000,3,11,2016
"посёлок Соцгород, Самара, Пугачевский тракт, 66, Куйбышевский, Самара, Самарская область",32.0,1/4,1800000,1,4,1956
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 25, Красноглинский, Самара, Самарская область",44.0,3/3,1950000,2,3,2011
"Самарская область,Самара,Промышленный,Ново-Садовая улица,353В, Промышленный, Самара, Самарская область",46.0,14/16,3200000,1,16,2014
"Партизанская, д.74, Железнодорожный, Самара, Самарская область",60.0,3/5,2800000,3,5,1967
"Самара, проспект Металлургов, 23, Кировский, Самара, Самарская область",33.0,8/9,2300000,1,9,1974
"посёлок Сухая Самарка, Самара, Белорусская улица, 34, Куйбышевский, Самара, Самарская область",70.3,2/12,3800000,3,12,1995
"Россия, Самарская область, Самара, Ново-Вокзальная ул, 257в, Промышленный, Самара, Самарская область",50.0,5/14,3100000,1,14,2006
"посёлок Мехзавод, Самара, 1-й квартал, 37, Красноглинский, Самара, Самарская область",106.0,4/10,5400000,3,10,2015
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 13, подъезд 4, Красноглинский, Самара, Самарская область",55.0,2/3,2370000,2,3,2011
"Самара, улица Воеводина, 16, Кировский, Самара, Самарская область",42.8,1/5,1200000,2,5,1979
"Самара, Галактионовская улица, 27, Самарский, Самара, Самарская область",110.0,4/6,7000000,3,5,1978
"Самара, проспект Карла Маркса, 510, Кировский, Самара, Самарская область",52.0,7/9,2050000,2,10,1998
"Самара, улица 22 Партсъезда, 37, Промышленный, Самара, Самарская область",38.0,7/9,1700000,2,9,1977
"ул Физкультурная, 133, Промышленный, Самара, Самарская область",56.0,1/5,2700000,3,5,1970
"Самарская область,Самара,Ленинский район,Чапаевская улица,77, Самарский, Самара, Самарская область",70.0,2/2,3500000,2,2,1868
"ул. Краснодонская, д. 10, Промышленный, Самара, Самарская область",45.0,4/27,2565000,1,,
"ул Молодогвардейская 100, Самарский, Самара, Самарская область",250.0,6/6,24850000,5,,1
"посёлок Управленческий, Красноглинский район, Самара, улица Академика Кузнецова, 11, Красноглинский, Самара, Самарская область",46.0,7/9,2350000,2,9,1978
"Самара, улица Стара Загора, 220, Кировский, Самара, Самарская область",55.0,12/12,3100000,2,12,1968
"Самара, Московское шоссе, 306, Промышленный, Самара, Самарская область",50.0,2/12,2998000,2,12,1980
"Самара, улица Стара Загора, 209, подъезд 8, Кировский, Самара, Самарская область",35.0,6/9,2280000,1,9,1976
"Самара, Севастопольская улица, 39, подъезд 1, Кировский, Самара, Самарская область",21.8,5/5,1680000,1,5,1969
"Самарская область,Самара,Промышленный район,Карла Маркса проспект,272, Промышленный, Самара, Самарская область",70.0,8/9,4940000,3,9,1998
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Виталия Жалнина, 6, Красноглинский, Самара, Самарская область",50.3,3/3,2600000,2,3,2014
"Самара, поселок 113-й километр, Липяговская улица, 7, Куйбышевский, Самара, Самарская область",41.0,4/5,1720000,2,5,1981
"Самара, улица Тухачевского, 24, Железнодорожный, Самара, Самарская область",70.0,3/9,4000000,3,10,1991
"Самарская область,Самара,Промышленный район,Теннисная улица,29, Промышленный, Самара, Самарская область",19.0,4/5,1250000,1,5,1976
"ул Нефтяников, 22А, Куйбышевский, Самара, Самарская область",75.0,3/4,3950000,3,4,1958
"Кирова пр-кт 220, Промышленный, Самара, Самарская область",43.0,3/5,2390000,2,5,1967
"Самара, Заводское шоссе, 71А, Промышленный, Самара, Самарская область",27.9,8/9,1300000,1,9,1981
"ул. Мира, д. 85, Красноглинский, Самара, Самарская область",36.4,2/3,1405000,1,3,2016
"Самара, улица Тухачевского, 30, Железнодорожный, Самара, Самарская область",39.0,8/9,2500000,1,9,1986
"Самара, улица Мечникова, 5, Железнодорожный, Самара, Самарская область",48.0,11/19,3200000,1,19,2016
"ул. Краснодонская, д. 10, Промышленный, Самара, Самарская область",44.2,11/27,2252670,1,,
"Самара, Ульяновская улица, 99, Ленинский, Самара, Самарская область",60.0,3/5,3350000,2,5,1959
"Самарская область,Самара,Октябрьский район,Масленникова проспект,9, Октябрьский, Самара, Самарская область",42.2,4/5,2200000,2,5,1961
"Самарская область,Самара,Красноглинский район,Крайняя улица,22, Красноглинский, Самара, Самарская область",46.4,2/5,2600000,2,5,1973
"Самарская область,Самара,Железнодорожный район,Красноармейская улица,112, Железнодорожный, Самара, Самарская область",47.0,3/4,2790000,2,4,1950
"Самарская область, Волжский район, жилой район Южный Город - 1, Весенняя улица, 6, Самара, Самарская область",34.0,3/3,1950000,1,3,2014
"посёлок Управленческий, Красноглинский район, Самара, улица Ногина, 9, Красноглинский, Самара, Самарская область",48.0,3/5,1700000,2,5,1970
"Самара, Октябрьский район, 3-й проезд, 50, Октябрьский, Самара, Самарская область",123.0,10/19,6100000,3,,
"Самара, Ново-Садовая улица, 246, подъезд 1, Промышленный, Самара, Самарская область",52.6,7/9,3850000,2,12,1992
"ул Партизанская, 177А, Советский, Самара, Самарская область",40.0,14/17,2150000,1,5,1964
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Евгения Золотухина, 5, Красноглинский, Самара, Самарская область",33.0,2/3,1620000,1,3,2012
"Самара, Ново-Садовая улица, 176, Промышленный, Самара, Самарская область",75.5,8/12,4200000,3,12,1996
"Самарская область,Самара,Советский район,Карякина переулок,2, Советский, Самара, Самарская область",51.4,3/5,3300000,2,5,1981
"Самара, улица Победы, 4Б, Советский, Самара, Самарская область",90.0,3/11,5597000,2,10,2006
"ул Симферопольская, 1, Красноглинский, Самара, Самарская область",87.0,1/4,2799000,3,4,1956
"ул Челюскинцев, 11, Октябрьский, Самара, Самарская область",60.0,6/9,3850000,3,9,1974
"Самара, улица Елизарова, 26, Кировский, Самара, Самарская область",62.0,5/5,3000000,2,,
"Бульвар Финютина д.74,кв.Самара, Крутые ключи, Кошелев проект, Красноглинский, Самара, Самарская область",31.0,2/3,1560000,1,3,2014
"Самара, улица Советской Армии, 98, Советский, Самара, Самарская область",40.0,6/12,2435000,1,13,2008
"Самара, Владимирская улица, 37, Железнодорожный, Самара, Самарская область",39.8,9/9,2500000,1,9,1988
"Самара, улица Ерошевского, 78, подъезд 3, Октябрьский, Самара, Самарская область",50.0,3/5,3450000,2,5,1976
"Самара, посёлок Мехзавод, 1-й квартал, 50, Красноглинский, Самара, Самарская область",37.9,2/10,2050000,1,,
"крутые ключи мира 17, Красноглинский, Самара, Самарская область",47.0,3/3,2350000,2,3,2015
"Самара, Дачная улица, 41/1, Железнодорожный, Самара, Самарская область",63.3,8/9,3600000,3,9,1985
"Самара, улица Ерошевского, 78, Октябрьский, Самара, Самарская область",31.0,5/5,2100000,1,5,1976
"посёлок Управленческий, Красноглинский район, Самара, Красногвардейская улица, 6, Красноглинский, Самара, Самарская область",67.0,3/9,3150000,3,9,1985
"Самара, Ленинградская улица, 2, Самарский, Самара, Самарская область",122.0,5/5,14000000,3,2,1917
"Маршала Василевского б-р 13, Красноглинский, Самара, Самарская область",47.0,2/3,2330000,2,3,2014
"ул Виталия Жалнина д. 22, Красноглинский, Самара, Самарская область",34.0,1/3,1590000,1,3,2013
