adress,area,floor,price,rooms,total_floors,year
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 41, Красноглинский, Самара, Самарская область",35.0,2/3,1550000,1,3.0,2011.0
"Самарская область,Самара,Красноглинский район,Управленческий,Парижской Коммуны улица,6, Красноглинский, Самара, Самарская область",78.0,2/2,950000,1,2.0,1939.0
"Самарская область,Самара,Красноглинский район,Мехзавод,11-й квартал,20, Красноглинский, Самара, Самарская область",31.0,3/5,1420000,1,,
"городской округ Самара, поселок Берёза, 3-й квартал, 2, Красноглинский, Самара, Самарская область",18.0,2/5,850000,1,5.0,1968.0
"Самара, Нагорная улица, 140, Кировский, Самара, Самарская область",53.0,3/10,2850000,2,10.0,1989.0
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Евгения Золотухина, 16, Красноглинский, Самара, Самарская область",38.0,3/3,1598000,1,3.0,2012.0
"Самара, улица Мориса Тореза, 13А, Железнодорожный, Самара, Самарская область",73.0,9/9,4450000,3,9.0,1982.0
"ул Стара Загора, 103, Промышленный, Самара, Самарская область",63.0,5/5,3200000,3,5.0,1966.0
"Самара, Самарская улица, 267, Ленинский, Самара, Самарская область",43.7,11/25,3500000,1,18.0,2012.0
"Самара, Минская улица, 35, Кировский, Самара, Самарская область",68.0,11/12,3650000,3,12.0,1981.0
"Самара, Мориса Тореза улица, 123, Советский, Самара, Самарская область",38.0,8/9,1899000,1,9.0,1967.0
"Самара, Ново-Садовая улица, 139, Октябрьский, Самара, Самарская область",129.2,14/17,10999000,3,17.0,2006.0
"Самарская область,Самара,Промышленный район,6-я просека,153, Промышленный, Самара, Самарская область",44.7,7/16,3200000,1,16.0,2005.0
"Самара, улица Ерошевского, 18, Октябрьский, Самара, Самарская область",126.0,19/20,10500000,3,22.0,2008.0
"Самара, улица 22 Партсъезда, 47, Промышленный, Самара, Самарская область",68.0,8/9,3600000,3,9.0,1987.0
"Самара, Рыльская улица, 3А, Промышленный, Самара, Самарская область",49.0,1/5,2450000,2,5.0,1986.0
"Самара, Воронежская улица, 1А, Промышленный, Самара, Самарская область",16.0,1/4,750000,1,4.0,1953.0
"Самара, проспект Карла Маркса, 4Б, Железнодорожный, Самара, Самарская область",38.0,14/24,2500000,1,25.0,2017.0
"Самара, посёлок Мехзавод, 1-й квартал, 35, подъезд 3, Красноглинский, Самара, Самарская область",78.0,1/10,5000000,3,,
"Самара, улица Свободы, 230, подъезд 1, Кировский, Самара, Самарская область",13.0,1/5,850000,1,,
"5-я просека, 95А, Октябрьский, Самара, Самарская область",94.5,6/19,6890000,3,19.0,2009.0
"ул.Садовая, 225, Ленинский, Самара, Самарская область",92.0,5/10,8500000,3,10.0,2006.0
"Самара, Осетинская улица, 2, Куйбышевский, Самара, Самарская область",82.2,14/16,3730000,3,17.0,2014.0
"Самара, улица 22 Партсъезда, 223, Промышленный, Самара, Самарская область",82.0,12/12,4400000,3,12.0,1989.0
"Самара, Аэродромная улица, 61, Советский, Самара, Самарская область",46.0,3/5,2050000,2,5.0,1963.0
"Самара, Ново-Садовая улица, 139, подъезд 4, Октябрьский, Самара, Самарская область",47.0,4/17,4500000,1,17.0,2006.0
"Самара, улица Советской Армии, 133, Советский, Самара, Самарская область",44.0,5/5,2500000,2,5.0,1968.0
"посёлок Соцгород, Самара, Калининградская улица, 3, Куйбышевский, Самара, Самарская область",30.0,9/9,1260000,1,9.0,1979.0
"Самарская область,Самара,Промышленный район,7 микрорайон,Стара Загора улица,98, Промышленный, Самара, Самарская область",60.0,2/9,3200000,3,9.0,1980.0
"Самара, Московское шоссе, 161, Промышленный, Самара, Самарская область",85.0,5/12,4300000,3,12.0,1982.0
