adress,area,floor,price,rooms,total_floors,year,lat,lon
"посёлок Мурино, Всеволожский район, Ленинградская область, бульвар Менделеева, 10, Санкт-Петербург",66.0,13/16,14767,6600000,3,17,2016,60.052887
"Санкт-Петербург, улица Вадима Шефнера, 14к1, Морской, Санкт-Петербург",32.0,13/18,12053,5500000,0,19,2016,59.940217
"ул Рылеева, 21, Литейный округ, Санкт-Петербург",151.3,7/7,9417,19499000,5,7,1910,59.942245
"Санкт-Петербург, Шлиссельбургский проспект, 20к2, Рыбацкое, Санкт-Петербург",55.0,8/9,10720,5600000,2,,,59.838141
"посёлок Мурино, Всеволожский район, Ленинградская область, проспект Авиаторов Балтики, 3, Санкт-Петербург",39.3,14/25,15403,3600000,1,21,2015,60.049954
"Санкт-Петербург, Петродворцовый район, посёлок Стрельна, Орловская улица, 4к1, Петергоф, Санкт-Петербург",42.1,1/6,12808,4800000,1,6,1992,59.854499
"Демьяна Бедного ул, 25, Прометей, Санкт-Петербург",55.0,4/5,14773,5700000,3,5,1972,60.047685
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 20к1, Парголово, Санкт-Петербург",25.5,4/25,11452,3100000,0,28,2014,60.081004
"Санкт-Петербург, Петергофское шоссе, 59, Южно-Приморский округ, Санкт-Петербург",105.6,3/10,10121,15500000,3,17,2010,59.849071
"ул. Пионерская, д. 50, лит. А, Петровский округ, Санкт-Петербург",263.0,12/12,12055,82370000,4,14,2012,59.963539
"Санкт-Петербург, Гжатская улица, 9, Гражданка, Санкт-Петербург",39.0,7/8,15404,4900000,1,8,2006,59.998909
"Пулковское шоссе, дом 30, Звёздное, Санкт-Петербург",51.3,6/15,10723,4780000,2,4,1974,59.825135
"Санкт-Петербург, улица Вавиловых, 15к3, Академическое, Санкт-Петербург",46.0,4/5,9418,4600000,2,5,1967,60.021987
"Санкт-Петербург, Бухарестская улица, 66к1, Волковское, Санкт-Петербург",13.0,1/9,12809,1680000,0,,,59.877944
"Суворовский пр-кт, 36, Смольнинское, Санкт-Петербург",76.0,1/5,11454,7290000,3,5,1907,59.941101
"Санкт-Петербург, улица Софьи Ковалевской, 14к1, Академическое, Санкт-Петербург",54.5,11/14,14778,6150000,2,14,1973,60.015084
"Пушкин, Санкт-Петербург, Московское шоссе, 4, Пушкин, Санкт-Петербург",56.0,2/5,10124,4950000,3,5,1973,59.724437
"ул. Пионерская, д. 50, лит. А, Петровский округ, Санкт-Петербург",250.3,12/12,12056,84382000,3,14,2012,59.963539
"Санкт-Петербург, улица Фрунзе, 16, Московская застава, Санкт-Петербург",103.0,1/7,15405,14800000,3,7,1957,59.862411
"5-я Советская ул, 7, Смольнинское, Санкт-Петербург",84.0,2/5,10725,11650000,3,6,1907,59.934925
"Санкт-Петербург, Богатырский проспект, 3к2, Комендантский аэродром, Санкт-Петербург",35.7,14/15,12810,5200000,1,14,1980,60.001055
"Санкт-Петербург, Богатырский проспект, 60к1, № 65, Санкт-Петербург",56.1,6/17,9422,7400000,2,17,2009,60.008698
"Санкт-Петербург, Ланское шоссе, 22к3, Чёрная речка, Санкт-Петербург",43.8,5/5,10127,4300000,2,5,1961,59.996753
"Колпино, Санкт-Петербург, улица Веры Слуцкой, 89к3, Колпино, Санкт-Петербург",59.0,3/9,11457,4350000,3,5,1971,59.733768
"Шуваловский пр-кт, 74к2, № 65, Санкт-Петербург",42.7,9/17,14781,5680000,1,17,2010,60.023947
"Санкт-Петербург, проспект Просвещения, 43, № 15, Санкт-Петербург",60.2,8/27,12060,7180000,2,29,2017,60.053952
"Санкт-Петербург, Морская набережная, 39к3, Остров Декабристов, Санкт-Петербург",43.0,9/16,15407,6000000,1,16,2007,59.960179
"Санкт-Петербург, проспект Шаумяна, 38, подъезд 4, Малая Охта, Санкт-Петербург",32.0,2/5,10726,4200000,1,5,1961,59.927811
"Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Пулковское, Образцовая улица, 9В, Пушкин, Санкт-Петербург",90.1,1/4,9425,10600000,3,,2016,59.754039
"город Пушкин, ул Широкая 1, Пушкин, Санкт-Петербург",48.9,1/3,10131,7600000,2,3,1947,59.721493
"Санкт-Петербург, улица Бабушкина, 52, Ивановский округ, Санкт-Петербург",98.3,5/5,12812,9800000,4,5,1959,59.874128
"Санкт-Петербург, Московское шоссе, 16к1, Звёздное, Санкт-Петербург",93.1,6/9,12061,11500000,2,9,1938,59.799856
"Санкт-Петербург, улица Шотмана, 5к1, № 54, Санкт-Петербург",73.6,1/9,11459,5400000,4,9,1973,59.900777
"Санкт-Петербург, Московский проспект, 204, Московская застава, Санкт-Петербург",97.5,5/6,14782,16000000,2,6,1953,59.858674
"Санкт-Петербург, Московский проспект, 37/1, Измайловское округ, Санкт-Петербург",50.0,3/6,15408,8500000,2,6,1907,59.913501
"Санкт-Петербург, Ленинский проспект, 121к4, Княжево, Санкт-Петербург",48.0,1/5,10745,4100000,4,5,1962,59.852606
"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",36.0,19/21,9427,4400000,1,21,2017,60.042415
"Санкт-Петербург, Звёздная улица, 11к1, Гагаринское, Санкт-Петербург",120.5,13/15,12062,11500000,3,14,2005,59.834429
"Санкт-Петербург, Лыжный переулок, 4к1, № 65, Санкт-Петербург",45.0,3/22,10137,6500000,1,25,2013,59.999705
"Санкт-Петербург, улица Уточкина, 6к1, Озеро Долгое, Санкт-Петербург",15.0,2/9,12814,1590000,0,9,1988,60.011387
"Санкт-Петербург, Пушкин, Церковная улица, 7, Пушкин, Санкт-Петербург",82.2,3/3,14783,12330000,2,,2017,59.724437
"Санкт-Петербург, 8-я Советская улица, 46, Смольнинское, Санкт-Петербург",20.0,4/4,11461,2399999,0,4,1897,59.935128
"Ленинский пр-кт, 82к1, Южно-Приморский округ, Санкт-Петербург",106.0,11/14,10749,12160000,3,20,2011,59.858367
"Санкт-Петербург, Народная улица, 47, Народный, Санкт-Петербург",46.0,3/5,9428,4100000,2,,,59.88176
"Санкт-Петербург, проспект Ударников, 27к2, Пороховые, Санкт-Петербург",74.0,11/16,15409,6300000,3,,,59.951335
"Россия, Санкт-Петербург, Санкт-Петербург, Комиссара Смирнова, 8, Сампсониевское, Санкт-Петербург",47.3,5/5,10138,8295000,2,5,1952,59.961881
"Санкт-Петербург, Русановская улица, 17к2, Народный, Санкт-Петербург",65.7,4/23,12063,6499900,2,23,2013,59.863924
"Санкт-Петербург, Балтийский бульвар, 4, Южно-Приморский округ, Санкт-Петербург",78.0,12/24,14788,9169750,2,25,2018,59.868984
"Санкт-Петербург, улица Маршала Тухачевского, 11, Полюстрово, Санкт-Петербург",45.0,4/5,11462,4150000,2,5,1966,59.965584
"Санкт-Петербург, Ушаковская набережная, 3к2, Чёрная речка, Санкт-Петербург",117.2,8/15,12815,18500000,3,17,2015,59.982235
"Санкт-Петербург, Седова ул. 71, Ивановский округ, Санкт-Петербург",58.0,4/5,10750,5700000,2,5,1959,59.875275
"Санкт-Петербург, проспект Науки, 73к1, Пискарёвка, Санкт-Петербург",43.5,1/5,9430,4150000,1,,,60.005162
"Пестеля ул, 19, Литейный округ, Санкт-Петербург",93.0,2/5,15413,11680000,3,5,1839,59.942584
"Санкт-Петербург, Ленинский проспект, 82к1, Южно-Приморский округ, Санкт-Петербург",30.0,7/20,10140,3600000,0,20,2011,59.858367
"Россия, Санкт-Петербург, 2-я линия Васильевского острова, д.25, № 7, Санкт-Петербург",180.0,5/6,12064,65000000,3,6,2006,59.939487
"Санкт-Петербург, проспект Королёва, 64к2, подъезд 2, Коломяги, Санкт-Петербург",37.8,18/19,14790,3770000,1,21,2018,60.033252
"Санкт-Петербург, набережная Обводного канала, 211-213, Екатерингофский, Санкт-Петербург",19.0,1/3,11464,2230000,0,3,1836,59.909585
"Санкт-Петербург, проспект Маршака, 28к1, Полюстрово, Санкт-Петербург",33.0,12/19,12819,3700000,1,19,2017,60.025853
"Санкт-Петербург, Галерная улица, 59, Адмиралтейский округ, Санкт-Петербург",66.3,1/3,15418,6300000,3,4,1858,59.931427
"Санкт-Петербург, проспект Славы, 23к1, Георгиевский, Санкт-Петербург",29.6,2/9,10754,4100000,1,9,1967,59.851783
"Пролетарская ул 143, Колпино, Санкт-Петербург",45.0,8/9,10141,3068000,1,9,1970,59.742792
"Чехова ул, 7, Литейный округ, Санкт-Петербург",102.7,4/5,9431,12990000,3,6,1841,59.937265
"Санкт-Петербург, Южное шоссе, 45к3, № 75, Санкт-Петербург",76.0,8/24,11467,9900000,3,25,2017,59.862967
"Южное шоссе, 53к4, № 75, Санкт-Петербург",41.7,8/25,12822,5600000,1,26,2016,59.862967
"Санкт-Петербург, проспект Динамо, 6, Чкаловское, Санкт-Петербург",143.6,6/8,12065,36850000,3,8,2014,59.970862
"Санкт-Петербург, Пулковское шоссе, Пулковский меридиан, Санкт-Петербург",25.4,19/23,14794,2850000,0,,,59.776781
"Санкт-Петербург, проспект Луначарского, 56к1, Парнас, Санкт-Петербург",59.0,1/9,9432,5500000,3,,,60.042307
"посёлок Белоостров, Курортный район, Санкт-Петербург, Новое шоссе, 2, Сестрорецк, Санкт-Петербург",84.0,3/3,15421,5100000,3,3,1952,60.139405
"Санкт-Петербург, Петергофское шоссе, 57, Южно-Приморский округ, Санкт-Петербург",68.4,12/18,10765,10500000,2,17,2010,59.848552
"Ленинградская область, Всеволожский район, посёлок Мурино, Новая улица, 11к1, Санкт-Петербург",40.0,7/9,10142,3820000,2,10,2016,60.039306
"Рубинштейна ул, 26, Владимирский округ, Санкт-Петербург",138.1,2/6,11472,21988880,4,6,1822,59.929357
"Санкт-Петербург, улица Тамбасова, 31к2, Константиновское, Санкт-Петербург",40.0,7/10,12066,4400000,1,9,1968,59.826031
"Санкт-Петербург, улица Седова, 104, Обуховский округ, Санкт-Петербург",31.0,1/5,14796,3550000,1,5,1960,59.869996
"Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Детскосельский, Центральная улица, 16, Пушкин, Санкт-Петербург",41.0,2/9,12823,3630000,2,9,2014,59.727159
"Санкт-Петербург, 12-я линия Васильевского острова, 13, № 7, Санкт-Петербург",36.4,6/7,10770,4965000,1,6,1917,59.937662
"Санкт-Петербург, улица Фрунзе, 16, Московская застава, Санкт-Петербург",101.8,1/7,9433,13500000,5,7,1957,59.862411
"Санкт-Петербург, Большой проспект Васильевского острова, 87, Гавань, Санкт-Петербург",75.0,5/6,15422,11200000,3,,,59.945504
"Санкт-Петербург, Невский проспект, 154, Смольнинское, Санкт-Петербург",48.0,1/5,10143,7000000,3,,,59.927856
"ул.Коломенская, д.33/40, Владимирский округ, Санкт-Петербург",101.0,3/5,11476,11000000,4,7,1911,59.92235
"посёлок Мурино, Всеволожский район, Ленинградская область, Воронцовский бульвар, 6, Санкт-Петербург",25.7,11/23,14798,2890000,0,23,2015,60.053835
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",72.0,3/10,12069,23760000,1,15,2017,59.962719
"Санкт-Петербург, Софийская улица, 31, № 72, Санкт-Петербург",44.0,7/9,12825,4100000,2,,,59.843584
"Санкт-Петербург, улица Белышева, 5/6, Невский округ, Санкт-Петербург",34.5,10/25,10771,3500000,1,25,2014,59.909856
"ул. Обручевых, д. 5, лит. А, Академическое, Санкт-Петербург",73.6,2/20,10145,9456282,2,20,2018,60.011729
"Санкт-Петербург, Пулковская улица, 6к2, Звёздное, Санкт-Петербург",25.0,4/20,15426,3750000,0,24,2006,59.839895
"Санкт-Петербург, Комендантский проспект, 17к1, Озеро Долгое, Санкт-Петербург",35.0,17/17,9435,5450000,1,26,2005,60.012539
"Санкт-Петербург, проспект Космонавтов, 37, Гагаринское, Санкт-Петербург",80.0,8/25,11477,10999000,3,25,2009,59.855376
"Санкт-Петербург, Литейный проспект, 29, Литейный округ, Санкт-Петербург",139.0,3/6,14800,20000000,4,6,1870,59.941786
"Санкт-Петербург, Пражская улица, 17к1, № 72, Санкт-Петербург",60.3,8/9,12826,7500000,3,,,59.871911
"Санкт-Петербург, Пискаревский пр. 21, корпус 2, Полюстрово, Санкт-Петербург",43.5,14/16,12072,4900000,1,,,59.966791
"Художников пр-кт, 26/2, Парнас, Санкт-Петербург",34.0,11/12,16077,4050000,1,12,1984,60.047856
"Санкт-Петербург, Заневский проспект, 63, Малая Охта, Санкт-Петербург",46.1,5/5,15428,4450000,2,5,1962,59.930944
"Новгородский пр. д.10, Шушары, Санкт-Петербург",57.6,7/20,11480,6000000,2,24,2015,59.806821
"Санкт-Петербург, Наличная улица, 44к2, Остров Декабристов, Санкт-Петербург",40.0,13/16,10149,4300000,2,16,1976,59.952245
"Санкт-Петербург, Суворовский проспект, 61, Смольнинское, Санкт-Петербург",110.0,5/5,10774,15840000,4,7,1956,59.941524
"Санкт-Петербург, Ленинский проспект, 72к3, Южно-Приморский округ, Санкт-Петербург",28.3,2/20,14802,1000000,0,20,2011,59.862357
"посёлок Парголово, Санкт-Петербург, улица Валерия Гаврилина, 11к1, Парголово, Санкт-Петербург",69.0,9/25,12074,7590000,3,27,2017,60.078666
"Санкт-Петербург, Сестрорецк, Приморское шоссе, 272, Сестрорецк, Санкт-Петербург",63.4,3/5,12828,7200000,3,,1985,60.08761
"Дивенская 5, Посадский, Санкт-Петербург",100.0,9/15,11481,24300000,3,15,2009,59.959868
"Санкт-Петербург, проспект Металлистов, 8, Большая Охта, Санкт-Петербург",54.9,3/5,15434,5200000,3,5,1963,59.943683
"Санкт-Петербург, Петродворцовый район, посёлок Стрельна, Орловская улица, 2, Петергоф, Санкт-Петербург",42.0,5/5,16079,4600000,1,6,1985,59.853758
"Санкт-Петербург, Сапёрный переулок, 16/36, Литейный округ, Санкт-Петербург",90.0,5/5,10154,8000000,3,6,1880,59.941096
"Санкт-Петербург, Богатырский проспект, 56к3, № 65, Санкт-Петербург",33.1,15/16,14803,4100000,1,16,2008,60.008698
"Санкт-Петербург, 12-я линия Васильевского острова, 13, № 7, Санкт-Петербург",54.3,6/7,10775,6500000,1,6,1917,59.937662
"Санкт-Петербург, Фурштатская улица, 44, Смольнинское, Санкт-Петербург",80.0,4/5,12076,14950000,2,5,1896,59.945373
"Санкт-Петербург, Богатырский проспект, 47к2, № 65, Санкт-Петербург",41.8,10/10,15438,5200000,1,10,2008,60.008698
"Санкт-Петербург, Парашютная улица, 54, Коломяги, Санкт-Петербург",99.3,3/22,16082,10900000,3,24,2011,60.063464
"Санкт-Петербург, улица Чайковского, 38/9, Литейный округ, Санкт-Петербург",103.5,3/7,12829,10350000,4,5,1895,59.946689
"Санкт-Петербург, улица Есенина, 1к1, Светлановское, Санкт-Петербург",126.4,6/11,10776,12600000,3,25,2009,60.028928
"Санкт-Петербург, Камышовая улица, 7, Озеро Долгое, Санкт-Петербург",51.4,2/12,14804,6250000,2,12,1992,60.006098
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шоссе в Лаврики, 89, Санкт-Петербург",74.0,8/18,10155,6600000,3,19,2017,60.06654
"Санкт-Петербург, улица Дыбенко, 15к2, № 54, Санкт-Петербург",35.0,1/14,12077,4199000,1,14,1973,59.904302
"Санкт-Петербург, улица Корнея Чуковского, 5к3, Полюстрово, Санкт-Петербург",39.8,10/21,16085,4300000,1,22,2016,60.027984
"ул Подрезова, 7, Аптекарский остров, Санкт-Петербург",54.0,1/5,15439,6300000,2,5,1912,59.963967
"Санкт-Петербург, Выборгское шоссе, 17к1, Шувалово-Озерки, Санкт-Петербург",34.0,5/22,12830,5050000,0,26,2011,60.054554
"Санкт-Петербург, проспект Большевиков, 65к1, Народный, Санкт-Петербург",49.0,3/9,14805,5200000,2,9,1966,59.879963
"Санкт-Петербург, проспект Сизова, 32к1, Озеро Долгое, Санкт-Петербург",73.9,2/9,10156,6690000,4,12,1986,60.014324
"Санкт-Петербург, Каменноостровский проспект, 69, Аптекарский остров, Санкт-Петербург",58.8,6/6,10780,8990000,1,6,1937,59.974541
"ул. Заводская д.15 К, Рыбацкое, Санкт-Петербург",24.0,11/25,12078,2600000,0,25,2018,59.831087
"Санкт-Петербург, территория Усть-Славянка, Советский проспект, 34к2, Рыбацкое, Санкт-Петербург",53.0,25/25,16086,5800000,2,27,2018,59.803282
"Санкт-Петербург, Вознесенский проспект, 35, подъезд 1, Адмиралтейский округ, Санкт-Петербург",93.5,3/5,14806,13850000,3,3,1917,59.92465
"Санкт-Петербург, улица Крыленко, 1к1с5, Народный, Санкт-Петербург",26.9,11/17,12831,3450000,0,16,2017,59.891485
"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",30.0,21/25,15440,3190000,0,21,2017,60.042415
"Санкт-Петербург, проспект Героев, 26к2, Южно-Приморский округ, Санкт-Петербург",62.0,1/17,10783,5300000,2,17,2012,59.939095
"Санкт-Петербург, улица Хошимина, 7к1, Шувалово-Озерки, Санкт-Петербург",80.0,9/16,10159,8990000,3,,,60.051315
"Колпино, Санкт-Петербург, улица Братьев Радченко, 23, Колпино, Санкт-Петербург",56.0,2/9,11482,4200000,3,9,1982,59.744982
"Санкт-Петербург, проспект Художников, 26к2, Парнас, Санкт-Петербург",34.0,11/12,12080,3950000,1,12,1984,60.047856
"Ленина пр-кт, 39., Колпино, Санкт-Петербург",42.0,1/5,12838,3600000,2,5,1963,59.751324
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",99.1,6/10,15441,8900000,3,10,2001,60.028568
"Санкт-Петербург, проспект Просвещения, 43, № 15, Санкт-Петербург",63.7,8/25,14808,7730000,2,29,2017,60.053952
"Санкт-Петербург, Купчинская улица, 24, Балканский, Санкт-Петербург",62.3,9/9,16088,5799000,3,9,1975,59.832285
"Санкт-Петербург, улица Доблести, 17к2, Южно-Приморский округ, Санкт-Петербург",42.5,6/8,10162,4150000,1,8,2009,59.860292
"Джамбула пер, 15, Владимирский округ, Санкт-Петербург",92.1,4/4,10785,10800000,2,5,1875,59.924984
"Санкт-Петербург, проспект Кузнецова, 14к1, Южно-Приморский округ, Санкт-Петербург",58.0,24/26,12081,6495000,2,26,2012,59.861028
"посёлок Парголово, Санкт-Петербург, улица Михаила Дудина, 10, Парголово, Санкт-Петербург",26.0,5/24,10793,3150000,0,26,2015,60.069858
"Колпино, Санкт-Петербург, Пролетарская улица, 9, Колпино, Санкт-Петербург",85.0,8/8,12844,8200000,2,7,2003,59.741246
"Ветеранов пр-кт, 29, Дачное, Санкт-Петербург",28.3,1/9,10164,3250000,1,9,1966,59.844203
"Красное Село, Санкт-Петербург, улица Суворова, 13, Красное Село, Санкт-Петербург",55.0,4/4,11483,3500000,3,4,1962,59.734897
"Санкт-Петербург, улица Восстания, 7, Смольнинское, Санкт-Петербург",73.8,4/4,15442,10490000,2,4,1859,59.933127
"Санкт-Петербург, улица Союза Печатников, 13-15, Коломна, Санкт-Петербург",93.0,5/6,14809,11160000,3,,,59.923559
"Санкт-Петербург, улица Олеко Дундича, 35к1, № 75, Санкт-Петербург",54.5,1/12,16090,5700000,2,12,1983,59.830997
"Санкт-Петербург, Московский проспект, 183-185, Пулковский меридиан, Санкт-Петербург",54.6,8/24,10799,6340000,1,24,2014,59.855331
"Санкт-Петербург, м. Старая деревня, Приморский район, Камышовая улица, д.42к1, № 65, Санкт-Петербург",39.9,3/12,12082,4650000,1,12,1995,60.009615
"Санкт-Петербург, улица Маршала Тухачевского, 23, Полюстрово, Санкт-Петербург",55.0,4/16,12846,5150000,1,16,2017,59.968263
"Санкт-Петербург, улица Пестеля, 17/25, Литейный округ, Санкт-Петербург",87.9,4/4,10165,10800000,3,4,1870,59.942511
"ул. Среднерогатская, д. 20, Звёздное, Санкт-Петербург",22.9,7/18,15446,2750000,0,18,2019,59.820282
"Реки Фонтанки набережная, 82 к1, Владимирский округ, Санкт-Петербург",104.9,2/5,11484,14490000,3,5,1879,59.926436
"подъезд , , 1, Санкт-Петербург, улица Нахимова, 1, подъезд 1, Морской, Санкт-Петербург",38.0,4/8,16091,4300000,2,10,1973,59.944558
"Санкт-Петербург, Кушелевская дорога, 7к3, Пискарёвка, Санкт-Петербург",56.0,12/25,14810,8500000,2,24,2016,59.988599
"Санкт-Петербург, улица Коллонтай, 19к4, Невский округ, Санкт-Петербург",36.0,15/16,10801,4200000,1,16,1988,59.915562
"Санкт-Петербург, Смольный проспект, 6, Смольнинское, Санкт-Петербург",102.0,1/6,12847,29390000,3,5,1906,59.944729
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",56.9,3/10,12083,18208000,1,15,2017,59.962719
"Санкт-Петербург, бульвар Александра Грина, 2к1, Гавань, Санкт-Петербург",46.0,13/17,15448,5190000,1,18,2018,59.936039
"Ленинградская область, Всеволожский район, посёлок Мурино, бульвар Менделеева, 3, Санкт-Петербург",25.4,21/22,10170,3150000,0,25,2016,60.050821
"Невский пр-кт, 137, Лиговка-Ямская, Санкт-Петербург",193.0,6/7,11485,49000000,4,7,2004,59.926684
"Санкт-Петербург, Новочеркасский проспект, 33, Малая Охта, Санкт-Петербург",59.0,5/14,16092,11400000,2,14,2006,59.932022
"Санкт-Петербург, проспект Народного Ополчения, 187, Ульянка, Санкт-Петербург",46.7,3/5,14812,3900000,2,5,1968,59.825769
"Санкт-Петербург, Съезжинская улица, 13, Введенский, Санкт-Петербург",24.3,2/4,10802,3200000,0,6,1897,59.954002
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",61.9,3/10,12087,19808000,1,15,2017,59.962719
"Санкт-Петербург, Южное шоссе, 47к3, № 75, Санкт-Петербург",38.5,19/25,15449,5300000,1,24,2017,59.862967
"Санкт-Петербург, Ириновский проспект, 21к2, Пороховые, Санкт-Петербург",71.0,5/12,12852,5250000,3,,,59.956093
"Санкт-Петербург, Пушкин, Малиновская улица, 8, Пушкин, Санкт-Петербург",105.0,3/5,16096,11800000,3,,,59.699735
"Санкт-Петербург, проспект Солидарности, 3к1, Правобережный, Санкт-Петербург",50.2,9/9,10171,5100000,2,9,1980,59.927644
"территория Славянка, посёлок Шушары, Пушкинский район, Санкт-Петербург, Ростовская улица, 26к2, Пушкин, Санкт-Петербург",43.7,7/9,11487,4200000,2,9,2012,59.740316
"Федора Абрамова ул, 4, Парголово, Санкт-Петербург",32.5,16/26,14814,4050000,0,27,2011,60.070253
"Санкт-Петербург, 5-й Предпортовый проезд, 10к2, Пулковский меридиан, Санкт-Петербург",49.0,6/9,10805,5290000,2,12,1979,59.834754
"Санкт-Петербург, проспект Авиаконструкторов, 16к2, подъезд 3, Юнтолово, Санкт-Петербург",69.5,4/10,16097,6549999,3,6,1990,60.017409
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шувалова, 23, Санкт-Петербург",23.8,6/17,12854,2750000,0,18,2017,60.063294
"Мурино, ул.шоссе в Лаврики, 55, Санкт-Петербург",36.3,11/17,12090,3550000,1,18,2016,60.059459
"Московский пр-кт, 1, Сенной округ, Санкт-Петербург",72.1,2/7,11488,21500000,3,,,59.925633
"Савушкина ул, 37А, Чёрная речка, Санкт-Петербург",110.0,2/4,15451,12650000,3,4,1957,59.98485
"Санкт-Петербург, Гранитная улица, 32, Малая Охта, Санкт-Петербург",56.4,1/5,10173,5200000,3,5,1960,59.921813
"Санкт-Петербург, Вознесенский проспект, 35, подъезд 1, Адмиралтейский округ, Санкт-Петербург",77.6,3/5,14815,11500000,3,3,1917,59.92465
"Санкт-Петербург, проспект Стачек, 136, Дачное, Санкт-Петербург",31.3,1/5,10806,3200000,1,,,59.855534
"Санкт-Петербург, Туристская улица, 23к2, № 65, Санкт-Петербург",33.1,24/27,11490,4990000,1,27,2014,59.99701
"Свердловская наб, 60, Большая Охта, Санкт-Петербург",48.0,6/8,12856,6350000,2,8,1969,59.954701
"Санкт-Петербург, улица Тельмана, 30к1, № 54, Санкт-Петербург",65.0,1/17,15454,5650000,2,17,2006,59.893642
"Санкт-Петербург, улица Шкапина, 9-11, Екатерингофский, Санкт-Петербург",84.0,8/9,14816,10920000,3,21,2014,59.905339
"Ленинградская область, Всеволожский район, посёлок Мурино, Оборонная улица, 2к4, Санкт-Петербург",48.0,7/15,16098,4000000,2,17,2009,60.047658
"Черняховского ул, 32, Лиговка-Ямская, Санкт-Петербург",90.0,3/3,12091,10500000,3,3,1862,59.91968
"Санкт-Петербург, Петергофское шоссе, 45, Южно-Приморский округ, Санкт-Петербург",76.2,2/4,16824,9600000,2,20,2012,59.848077
"Санкт-Петербург, Московский проспект, 183-185, Пулковский меридиан, Санкт-Петербург",48.2,7/24,10808,5605000,1,24,2014,59.855331
"Санкт-Петербург, Клочков переулок, 10, Правобережный, Санкт-Петербург",52.1,8/12,12857,6700000,2,12,1994,59.920659
"Санкт-Петербург, проспект Космонавтов, 75, Звёздное, Санкт-Петербург",70.3,1/16,15463,7800000,3,16,1990,59.833429
"Санкт-Петербург, Вилькицкий бульвар, 6, Морской, Санкт-Петербург",30.0,4/17,16099,4500000,0,20,2018,59.937553
"Санкт-Петербург, проспект Солидарности, 5, Правобережный, Санкт-Петербург",50.3,5/9,11491,5400000,2,9,1980,59.925367
"Санкт-Петербург, улица Адмирала Черокова, 20, Южно-Приморский округ, Санкт-Петербург",36.9,13/13,14817,5100000,1,18,2015,59.851842
"ул Комсомольская, 6, Зеленогорск, Санкт-Петербург",91.0,2/5,16825,7500000,4,5,1984,60.198851
"Санкт-Петербург, улица Адмирала Черокова, 22, Южно-Приморский округ, Санкт-Петербург",25.0,9/17,12092,3200000,0,18,2015,59.850405
"хвойный 35, Красное Село, Санкт-Петербург",26.1,3/3,12859,1900000,1,,,59.66957
"Санкт-Петербург, Приморский проспект, 46, № 65, Санкт-Петербург",47.7,3/7,15465,10120000,1,8,2017,59.983067
"Санкт-Петербург, Богатырский проспект, 53к1, № 65, Санкт-Петербург",40.0,6/10,10809,5150000,1,10,2004,60.008698
"Санкт-Петербург, Глухарская улица, 33к1, Коломяги, Санкт-Петербург",63.6,4/19,16101,6550000,2,20,2013,60.037584
"Санкт-Петербург, улица Оптиков, 45к2, № 65, Санкт-Петербург",27.5,9/25,14822,3850000,0,25,2009,59.999287
"б-р Менделеева, д. 14, Санкт-Петербург",26.0,3/16,11492,3000000,0,17,2016,60.053265
"Санкт-Петербург, Коломенская ул. 33 40, Владимирский округ, Санкт-Петербург",101.8,3/5,12093,10690000,4,7,1911,59.92235
"Санкт-Петербург, 14-я линия Васильевского острова, 45, Васильевский, Санкт-Петербург",80.0,4/5,16827,12000000,4,5,1901,59.940952
"ул Глухарская, 19, Юнтолово, Санкт-Петербург",220.0,4/4,15467,34599900,5,5,2003,60.032497
"Санкт-Петербург, Московский проспект, 183-185, Пулковский меридиан, Санкт-Петербург",41.5,8/24,10810,5020000,1,24,2014,59.855331
"Санкт-Петербург, улица Шаврова, 13к1, Юнтолово, Санкт-Петербург",44.5,8/16,12860,5899000,1,16,2007,60.024019
"Санкт-Петербург, проспект Луначарского, 11к1, Сосновское, Санкт-Петербург",110.0,6/18,16102,15990000,2,27,2012,60.042878
"Санкт-Петербург, м. Комендантский проспект, Приморский район, Байконурская улица, д.24, Озеро Долгое, Санкт-Петербург",43.0,13/20,11495,6600000,1,20,2008,60.013969
"посёлок Мурино, Всеволожский район, Ленинградская область, Воронцовский бульвар, 6, Санкт-Петербург",32.0,1/20,14826,3590000,1,23,2015,60.053835
"Санкт-Петербург, Парашютная улица, 61к4, Коломяги, Санкт-Петербург",80.8,12/17,12095,7825000,3,17,2017,60.063464
"Санкт-Петербург, Ленинский проспект, 76к1, Южно-Приморский округ, Санкт-Петербург",72.0,5/20,16830,7000000,3,20,2010,59.860184
"Санкт-Петербург, проспект Ударников, 26, Пороховые, Санкт-Петербург",62.5,4/12,15470,5400000,3,12,1980,59.951326
