adress,area,floor,price,rooms,total_floors,year,lat,lon
"Санкт-Петербург, Среднерогатская улица, 20, Звёздное, Санкт-Петербург",47.7,2/17,3783,5500000,2,18,2019,59.820282
"Заставская улица, 46к3, Московская застава, Санкт-Петербург",74.0,5/20,2235,11900000,2,20,2017,59.885548
"Россия г Санкт-Петербург, ш Петергофское, д. 19/33, Южно-Приморский округ, Санкт-Петербург",43.5,6/9,4609,4750000,2,9,1979,59.847318
"Санкт-Петербург, Октябрьская набережная, 64к1, Народный, Санкт-Петербург",48.0,8/9,1481,4300000,2,9,1973,59.880794
"Санкт-Петербург, Большая Подьяческая улица, 21, Адмиралтейский округ, Санкт-Петербург",127.6,3/4,655,18000000,3,,,59.923847
"Санкт-Петербург, Канонерская улица, 19-21, подъезд 2, Коломна, Санкт-Петербург",92.0,3/6,3064,8800000,3,,,59.919626
"Россия, Санкт-Петербург, Невский р-н, Полярников ул., 5, Ивановский округ, Санкт-Петербург",93.0,5/5,5332,8050000,4,5,1957,59.877868
"Реки Фонтанки наб, 28, Литейный округ, Санкт-Петербург",78.2,3/5,13,22500000,2,5,1831,59.939086
"Санкт-Петербург, Петергофское шоссе, 57, Южно-Приморский округ, Санкт-Петербург",105.9,10/11,3784,15400000,3,17,2010,59.848552
"Санкт-Петербург, улица Сикейроса, 6к1, Сосновское, Санкт-Петербург",60.4,5/9,2236,5500000,3,,,60.035841
"ул. Жукова, д. 1, Финляндский округ, Санкт-Петербург",53.1,2/14,1484,6867559,1,15,,59.962435
"Санкт-Петербург, Верейская улица, 42/8, Семёновский, Санкт-Петербург",22.0,2/4,3065,3600000,0,3,1955,59.913722
"улица Бабушкина, 66к1, Обуховский округ, Санкт-Петербург",45.9,3/5,14,3970000,2,5,1961,59.864308
"Россия, Санкт-Петербург, Приморский р-н, Дибуновская ул., 50, Чёрная речка, Санкт-Петербург",79.0,11/19,5333,14500000,2,25,2005,59.98485
"ул Кирочная, 57, Смольнинское, Санкт-Петербург",110.0,9/9,4610,31990000,3,10,2016,59.94079
"Санкт-Петербург, Новоколомяжский проспект, 13, Коломяги, Санкт-Петербург",100.5,11/16,3785,14000000,3,17,2002,60.030564
"Санкт-Петербург, набережная Обводного канала, 66, Волковское, Санкт-Петербург",36.0,1/5,2238,5000000,2,5,1884,59.914191
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шувалова, 16/9, подъезд 5, Санкт-Петербург",37.0,12/25,1492,3850000,1,20,2015,60.056674
"Стачек пр-кт, 92к3, Автово, Санкт-Петербург",226.0,8/8,19,29000000,4,11,2011,59.868546
"Санкт-Петербург, Краснопутиловская улица, 113к1, Новоизмайловское, Санкт-Петербург",31.6,15/25,3069,5900000,0,25,2014,59.848167
"Санкт-Петербург, Учительская улица, 17к2, Прометей, Санкт-Петербург",50.0,2/5,5340,4900000,3,,,60.031481
"Санкт-Петербург, улица Шелгунова, 28, Обуховский округ, Санкт-Петербург",44.6,2/5,4615,4550000,2,5,1966,59.862772
"Королева пр-кт, 21к1, Комендантский аэродром, Санкт-Петербург",103.0,4/21,3788,14300000,4,25,2006,60.011914
"Санкт-Петербург, Ждановская улица, 10, Чкаловское, Санкт-Петербург",68.0,3/9,2240,16500000,2,5,2001,59.958476
"Санкт-Петербург, проспект Науки, 9, Академическое, Санкт-Петербург",31.0,1/5,656,3700000,1,5,1965,60.016874
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,21,4900000,1,10,2001,60.028568
"ул. Жукова, д. 1, Финляндский округ, Санкт-Петербург",52.6,4/14,1498,7113137,1,15,,59.962435
"Санкт-Петербург, проспект Ветеранов, 75к3, Дачное, Санкт-Петербург",45.0,12/17,5342,6500000,1,17,2008,59.83706
"Россия г Санкт-Петербург, ул Галерная, д. 44А, Адмиралтейский округ, Санкт-Петербург",79.0,2/5,4617,25000000,3,5,1899,59.93043
"Санкт-Петербург, проспект Просвещения, 43, № 15, Санкт-Петербург",38.7,6/22,3073,4650000,0,29,2017,60.053952
"Санкт-Петербург, Караванная улица, 24-26, Дворцовый округ, Санкт-Петербург",50.2,1/5,3789,8500000,1,5,1800,59.934308
"Пятилеток пр-кт, 8к2, Правобережный, Санкт-Петербург",78.4,6/16,2244,8050000,3,16,1993,59.921033
"Санкт-Петербург, Дунайский проспект, 5к4, подъезд 2, Звёздное, Санкт-Петербург",74.0,7/17,662,9100000,3,13,2006,59.829237
"Санкт-Петербург, улица Щербакова, 29к1, Коломяги, Санкт-Петербург",80.9,6/9,22,8295000,3,9,2003,60.02811
"Санкт-Петербург, Ленинский проспект, 82к3, Южно-Приморский округ, Санкт-Петербург",44.3,16/23,1502,5395000,1,23,2011,59.859162
"Антонова-Овсеенко ул, 18, Невский округ, Санкт-Петербург",96.0,3/14,5343,13900000,3,14,2006,59.90949
"Санкт-Петербург, проспект Юрия Гагарина, 77, Звёздное, Санкт-Петербург",110.0,4/9,4620,22700000,3,8,2008,59.838358
"Санкт-Петербург, проспект Испытателей, 20, Комендантский аэродром, Санкт-Петербург",35.1,7/9,3790,3890000,1,9,1976,60.005126
"Новоизмайловский пр-кт, 38к1, Новоизмайловское, Санкт-Петербург",45.0,2/5,2245,5000000,2,5,1962,59.856953
"Россия, Санкт-Петербург, Приморский проспект, д.22, Чёрная речка, Санкт-Петербург",84.6,2/3,3074,13000000,3,3,1917,59.982514
"Россия, Санкт-Петербург, проспект Наставников, д.19, Пороховые, Санкт-Петербург",160.0,17/24,665,16900000,3,22,2004,59.94444
"Санкт-Петербург, улица Добровольцев, 48к2, Урицк, Санкт-Петербург",46.0,5/5,5350,4800000,2,5,1970,59.829631
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",86.0,7/10,29,16950000,3,14,2012,59.963539
"ул. Жукова, д. 1, Финляндский округ, Санкт-Петербург",50.7,4/14,1503,6803592,1,15,,59.962435
"ул. Седова, д.86, Ивановский округ, Санкт-Петербург",88.0,1/5,3794,7950000,4,5,1953,59.875203
"Россия г Санкт-Петербург, пр-кт Искровский, д. 31, № 54, Санкт-Петербург",33.0,3/9,4623,3500000,1,,,59.904699
"Санкт-Петербург, улица Чайковского, 44, Смольнинское, Санкт-Петербург",53.0,2/5,2247,9200000,2,5,1907,59.946676
"Санкт-Петербург, улица Бабушкина, 101к1, Обуховский округ, Санкт-Петербург",45.3,2/7,3079,3900000,2,7,1961,59.868342
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Новгородский проспект, 10, Пушкин, Санкт-Петербург",42.0,19/24,667,3990000,1,24,2015,59.806821
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",102.2,3/26,31,15300000,3,26,2017,59.822711
"Санкт-Петербург, улица Доблести, 26к2, Южно-Приморский округ, Санкт-Петербург",28.0,13/15,5351,3350000,1,15,1982,59.85369
"Россия г Санкт-Петербург, ул Туристская, д. 24/42, № 65, Санкт-Петербург",51.5,11/16,4624,8150000,2,16,2011,59.99701
"Санкт-Петербург, Витебский проспект, 33к5, Гагаринское, Санкт-Петербург",41.7,5/5,3796,4099999,2,5,1964,59.858087
"Санкт-Петербург, Светлановский проспект, 115к2, Прометей, Санкт-Петербург",60.1,9/9,2248,5150000,3,9,1971,60.043035
"Замшина ул, 37а, Пискарёвка, Санкт-Петербург",42.4,8/10,1504,5350000,1,10,2007,59.983328
"Санкт-Петербург, Ленинский проспект, 114, Дачное, Санкт-Петербург",39.9,6/13,3080,5600000,1,24,2010,59.852606
"Санкт-Петербург, улица Ольги Форш, 1/4, Прометей, Санкт-Петербург",60.0,6/9,5353,5600000,3,9,1972,60.036214
"Ул. ТАВРИЧЕСКАЯ 15 кв. 15, Смольнинское, Санкт-Петербург",128.0,4/5,34,31900000,3,5,1916,59.94371
"Россия, Санкт-Петербург, Офицерский переулок, д.8, Чкаловское, Санкт-Петербург",112.0,4/8,670,20000000,2,8,2014,59.955606
"Санкт-Петербург, Вязовая улица, 8, Чкаловское, Санкт-Петербург",248.0,4/8,4625,85000000,5,10,2017,59.967691
"Санкт-Петербург, проспект Стачек, 59, подъезд 6, Автово, Санкт-Петербург",82.2,7/7,3797,7799999,3,7,1961,59.873708
"Санкт-Петербург, улица Дыбенко, 13к5, № 54, Санкт-Петербург",38.5,3/16,2252,5250000,1,,,59.904302
"Санкт-Петербург, Ленинский проспект, 74к1, Южно-Приморский округ, Санкт-Петербург",81.0,15/18,5359,8300000,3,18,2010,59.860861
"Санкт-Петербург, Альпийский переулок, 16, Георгиевский, Санкт-Петербург",28.6,1/9,3081,3750000,1,9,1967,59.853916
"Санкт-Петербург, улица Оптиков, 50к2, № 65, Санкт-Петербург",92.0,7/12,1506,14500000,3,12,2010,59.999287
"Санкт-Петербург, проспект Героев, 26к2, Южно-Приморский округ, Санкт-Петербург",78.9,8/17,35,7795000,3,17,2012,59.939095
"Санкт-Петербург, улица Маршала Казакова, 78к1, Южно-Приморский округ, Санкт-Петербург",36.1,22/24,673,4300000,1,26,2015,59.868803
"Санкт-Петербург, проспект Энгельса, 7к1, Светлановское, Санкт-Петербург",86.0,4/5,4627,9900000,3,,,59.99863
"Ленинградская область, Всеволожский район, посёлок Мурино, улица Шоссе в Лаврики, 74к2, Санкт-Петербург",63.0,14/17,3798,5500000,2,17,2014,60.062036
"Санкт-Петербург, улица Чапаева, 18, Посадский, Санкт-Петербург",145.0,10/10,2253,27000000,4,11,2015,59.96326
"Орджоникидзе ул, 31к1, Звёздное, Санкт-Петербург",31.0,4/9,5360,3500000,1,9,1969,59.842996
"Россия, Санкт-Петербург, Балтийский бульвар, д.4, Южно-Приморский округ, Санкт-Петербург",62.0,15/23,674,7750000,2,25,2018,59.868984
"Санкт-Петербург, улица Димитрова, 37к1, № 75, Санкт-Петербург",60.0,2/10,3799,8333000,2,19,2007,59.851173
"Санкт-Петербург, Воронежская улица, 84Б, Волковское, Санкт-Петербург",42.0,2/5,37,6950000,1,5,1902,59.911543
"Санкт-Петербург, Тимуровская улица, 6к1, Прометей, Санкт-Петербург",34.6,1/5,3082,3450000,1,5,1972,60.047124
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 19к1, Парголово, Санкт-Петербург",82.3,21/27,4628,8150000,3,28,2015,60.078773
"Санкт-Петербург, проспект Наставников, 41к1, Ржевка, Санкт-Петербург",55.2,10/16,2255,5500000,2,16,1985,59.952191
"Санкт-Петербург, Исполкомская улица, 3, Смольнинское, Санкт-Петербург",112.9,6/7,3800,27390000,3,7,2004,59.926643
